|       | game_id                                                             | soundtrack      |   num_videos |
|    93 | acrobat-mission                                                     | soundtrack_0007 |            1 |
|    94 | acrobat-mission                                                     | soundtrack_0008 |            5 |
|    95 | acrobat-mission                                                     | soundtrack_0009 |            4 |
|    96 | acrobat-mission                                                     | soundtrack_0010 |            2 |
|    97 | acrobat-mission                                                     | soundtrack_0011 |            1 |
|    98 | acrobat-mission                                                     | soundtrack_0012 |            5 |
|    99 | acrobat-mission                                                     | soundtrack_0015 |           10 |
|   100 | acrobat-mission                                                     | soundtrack_0016 |            6 |
|   101 | acrobat-mission                                                     | soundtrack_0017 |            1 |
|   102 | acrobat-mission                                                     | soundtrack_0018 |            2 |
|   103 | acrobat-mission                                                     | soundtrack_0019 |            3 |
|   104 | acrobat-mission                                                     | soundtrack_0020 |            8 |
|   105 | action-pachio                                                       | soundtrack_0001 |            4 |
|   106 | action-pachio                                                       | soundtrack_0002 |            5 |
|   107 | action-pachio                                                       | soundtrack_0003 |            7 |
|   108 | action-pachio                                                       | soundtrack_0004 |           13 |
|   109 | action-pachio                                                       | soundtrack_0005 |           26 |
|   110 | action-pachio                                                       | soundtrack_0006 |            5 |
|   111 | action-pachio                                                       | soundtrack_0007 |            9 |
|   112 | action-pachio                                                       | soundtrack_0008 |            6 |
|   113 | action-pachio                                                       | soundtrack_0009 |            8 |
|   114 | action-pachio                                                       | soundtrack_0010 |           11 |
|   115 | action-pachio                                                       | soundtrack_0011 |            5 |
|   116 | action-pachio                                                       | soundtrack_0012 |           10 |
|   117 | action-pachio                                                       | soundtrack_0013 |           11 |
|   118 | action-pachio                                                       | soundtrack_0014 |           12 |
|   119 | action-pachio                                                       | soundtrack_0016 |           16 |
|   120 | actraiser-2                                                         | soundtrack_0001 |           21 |
|   121 | actraiser-2                                                         | soundtrack_0002 |            1 |
|   122 | actraiser-2                                                         | soundtrack_0003 |           25 |
|   123 | actraiser-2                                                         | soundtrack_0004 |           52 |
|   124 | actraiser-2                                                         | soundtrack_0005 |            8 |
|   125 | actraiser-2                                                         | soundtrack_0006 |            4 |
|   126 | actraiser-2                                                         | soundtrack_0007 |           12 |
|   127 | actraiser-2                                                         | soundtrack_0009 |            7 |
|   128 | actraiser-2                                                         | soundtrack_0010 |           27 |
|   129 | actraiser-2                                                         | soundtrack_0011 |           20 |
|   130 | actraiser-2                                                         | soundtrack_0012 |           18 |
|   131 | actraiser-2                                                         | soundtrack_0013 |            5 |
|   132 | actraiser-2                                                         | soundtrack_0015 |           11 |
|   133 | addams-family-the                                                   | soundtrack_0003 |            5 |
|   134 | addams-family-the                                                   | soundtrack_0004 |           48 |
|   135 | addams-family-the                                                   | soundtrack_0005 |            8 |
|   136 | addams-family-the                                                   | soundtrack_0006 |            8 |
|   137 | addams-family-the                                                   | soundtrack_0007 |            7 |
|   138 | addams-family-the                                                   | soundtrack_0011 |           18 |
|   139 | addams-family-the                                                   | soundtrack_0013 |            2 |
|   140 | addams-family-the                                                   | soundtrack_0014 |           46 |
|   141 | addams-family-the                                                   | soundtrack_0017 |           13 |
|   142 | addams-family-the                                                   | soundtrack_0018 |           13 |
|   143 | addams-family-the                                                   | soundtrack_0022 |            6 |
|   144 | addams-family-the                                                   | soundtrack_0023 |           38 |
|   145 | addams-family-the-pugsleys-scavenger-hunt                           | soundtrack_0005 |            9 |
|   146 | addams-family-the-pugsleys-scavenger-hunt                           | soundtrack_0010 |            2 |
|   147 | addams-family-values                                                | soundtrack_0001 |           24 |
|   148 | addams-family-values                                                | soundtrack_0002 |           13 |
|   149 | addams-family-values                                                | soundtrack_0003 |           23 |
|   150 | addams-family-values                                                | soundtrack_0004 |           19 |
|   151 | addams-family-values                                                | soundtrack_0005 |           24 |
|   152 | addams-family-values                                                | soundtrack_0006 |           17 |
|   153 | addams-family-values                                                | soundtrack_0008 |            8 |
|   154 | addams-family-values                                                | soundtrack_0010 |           23 |
|   155 | addams-family-values                                                | soundtrack_0011 |          101 |
|   156 | addams-family-values                                                | soundtrack_0013 |           53 |
|   157 | addams-family-values                                                | soundtrack_0014 |            1 |
|   158 | addams-family-values                                                | soundtrack_0015 |            5 |
|   159 | addams-family-values                                                | soundtrack_0016 |           12 |
|   160 | adventures-of-batman-robin-the                                      | soundtrack_0001 |            6 |
|   161 | adventures-of-batman-robin-the                                      | soundtrack_0002 |            6 |
|   162 | adventures-of-batman-robin-the                                      | soundtrack_0003 |           17 |
|   163 | adventures-of-batman-robin-the                                      | soundtrack_0005 |            2 |
|   164 | adventures-of-batman-robin-the                                      | soundtrack_0006 |           14 |
|   165 | adventures-of-batman-robin-the                                      | soundtrack_0007 |            5 |
|   166 | adventures-of-batman-robin-the                                      | soundtrack_0008 |            3 |
|   167 | adventures-of-batman-robin-the                                      | soundtrack_0010 |           16 |
|   168 | adventures-of-batman-robin-the                                      | soundtrack_0011 |            4 |
|   169 | adventures-of-batman-robin-the                                      | soundtrack_0012 |            2 |
|   170 | adventures-of-batman-robin-the                                      | soundtrack_0013 |           28 |
|   171 | adventures-of-batman-robin-the                                      | soundtrack_0014 |           24 |
|   172 | adventures-of-batman-robin-the                                      | soundtrack_0015 |            9 |
|   173 | adventures-of-batman-robin-the                                      | soundtrack_0016 |            7 |
|   174 | adventures-of-batman-robin-the                                      | soundtrack_0017 |            5 |
|   175 | adventures-of-batman-robin-the                                      | soundtrack_0018 |            1 |
|   176 | adventures-of-batman-robin-the                                      | soundtrack_0019 |            3 |
|   177 | adventures-of-batman-robin-the                                      | soundtrack_0020 |            8 |
|   178 | adventures-of-batman-robin-the                                      | soundtrack_0021 |            2 |
|   179 | adventures-of-batman-robin-the                                      | soundtrack_0022 |            8 |
|   180 | adventures-of-batman-robin-the                                      | soundtrack_0023 |           10 |
|   181 | adventures-of-batman-robin-the                                      | soundtrack_0025 |            5 |
|   182 | adventures-of-batman-robin-the                                      | soundtrack_0026 |            3 |
|   183 | adventures-of-batman-robin-the                                      | soundtrack_0027 |            3 |
|   184 | adventures-of-dr-franken-the                                        | soundtrack_0001 |           30 |
|   185 | adventures-of-dr-franken-the                                        | soundtrack_0002 |            3 |
|   186 | adventures-of-dr-franken-the                                        | soundtrack_0003 |           18 |
|   187 | adventures-of-dr-franken-the                                        | soundtrack_0004 |           29 |
|   188 | adventures-of-dr-franken-the                                        | soundtrack_0005 |           25 |
|   189 | adventures-of-dr-franken-the                                        | soundtrack_0007 |           17 |
|   190 | adventures-of-dr-franken-the                                        | soundtrack_0008 |           23 |
|   191 | adventures-of-kid-kleets-the                                        | soundtrack_0001 |           29 |
|   192 | adventures-of-kid-kleets-the                                        | soundtrack_0002 |            8 |
|   193 | adventures-of-kid-kleets-the                                        | soundtrack_0003 |           14 |
|   194 | adventures-of-kid-kleets-the                                        | soundtrack_0004 |            9 |
|   195 | adventures-of-kid-kleets-the                                        | soundtrack_0005 |            9 |
|   196 | adventures-of-kid-kleets-the                                        | soundtrack_0006 |            2 |
|   197 | adventures-of-kid-kleets-the                                        | soundtrack_0009 |            5 |
|   198 | adventures-of-kid-kleets-the                                        | soundtrack_0010 |            1 |
|   199 | adventures-of-kid-kleets-the                                        | soundtrack_0011 |            1 |
|   200 | adventures-of-kid-kleets-the                                        | soundtrack_0012 |            1 |
|   201 | adventures-of-kid-kleets-the                                        | soundtrack_0013 |            1 |
|   202 | adventures-of-kid-kleets-the                                        | soundtrack_0014 |            2 |
|   203 | adventures-of-kid-kleets-the                                        | soundtrack_0015 |           11 |
|   204 | adventures-of-kid-kleets-the                                        | soundtrack_0016 |           15 |
|   205 | adventures-of-kid-kleets-the                                        | soundtrack_0020 |            6 |
|   206 | adventures-of-kid-kleets-the                                        | soundtrack_0021 |            7 |
|   207 | adventures-of-kid-kleets-the                                        | soundtrack_0022 |           20 |
|   208 | adventures-of-kid-kleets-the                                        | soundtrack_0024 |           25 |
|   209 | adventures-of-kid-kleets-the                                        | soundtrack_0025 |            7 |
|   210 | adventures-of-kid-kleets-the                                        | soundtrack_0026 |            8 |
|   211 | adventures-of-kid-kleets-the                                        | soundtrack_0027 |            3 |
|   212 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0001 |            1 |
|   213 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0002 |            4 |
|   214 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0003 |            8 |
|   215 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0004 |           10 |
|   216 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0005 |            2 |
|   217 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0006 |           31 |
|   218 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0007 |           23 |
|   219 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0008 |           19 |
|   220 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0012 |            1 |
|   221 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0013 |            3 |
|   222 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0014 |           10 |
|   223 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0015 |            9 |
|   224 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0016 |           14 |
|   225 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0018 |            2 |
|   226 | adventures-of-rocky-and-bullwinkle-and-friends-the                  | soundtrack_0020 |            2 |
|   227 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0002 |            4 |
|   228 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0006 |            7 |
|   229 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0007 |           37 |
|   230 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0008 |            8 |
|   231 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0009 |            3 |
|   232 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0010 |            1 |
|   233 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0013 |           20 |
|   234 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0015 |           32 |
|   235 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0016 |           36 |
|   236 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0017 |            2 |
|   237 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 | soundtrack_0019 |           34 |
