|    | genre      |   num_videos |
|----|------------|--------------|
|  0 | Action     |         7041 |
|  1 | Adventure  |         3749 |
|  2 | Fighting   |         6390 |
|  3 | Platform   |         7699 |
|  4 | Puzzle     |         4852 |
|  5 | RPG        |         7762 |
|  6 | Racing     |         5080 |
|  7 | Shooters   |         6571 |
|  8 | Simulation |         3040 |
|  9 | Sports     |         6141 |
| 10 | Strategy   |         5135 |
