|      | game_id                                                             |   num_videos |
|  121 | bishoujo-senshi-sailor-moon-super-s-fuwa-fuwa-panic                 |           74 |
|  122 | bishoujo-senshi-sailor-moon-super-s-zenin-sanka-shuyaku-soudatsusen |           21 |
|  123 | bishoujo-wrestler-retsuden-blizzard-yuki-rannyuu                    |            7 |
|  124 | blazeon-the-bio-cyborg-challenge                                    |           74 |
|  125 | block-kuzushi                                                       |           65 |
|  126 | blues-brothers-the                                                  |           20 |
|  127 | bob                                                                 |           83 |
|  128 | bobbys-world                                                        |           14 |
|  129 | bomberman-b-daman                                                   |           43 |
|  130 | bonkers                                                             |           15 |
|  131 | boogerman-a-pick-and-flick-adventure                                |           33 |
|  132 | bouncing-ball-trainer                                               |            2 |
|  133 | bounty-sword                                                        |            9 |
|  134 | boxing-legends-of-the-ring-[chavez-ii]                              |           75 |
|  135 | brain-lord                                                          |           38 |
|  136 | brainies-the                                                        |           72 |
|  137 | bram-stokers-dracula                                                |            4 |
|  138 | brandish-2-the-planet-buster                                        |           18 |
|  139 | brawl-brothers                                                      |           29 |
|  140 | breakthru                                                           |            8 |
|  141 | breath-of-fire                                                      |           27 |
|  142 | breath-of-fire-2                                                    |          141 |
|  143 | brett-hull-hockey                                                   |           13 |
|  144 | brett-hull-hockey-95                                                |            6 |
|  145 | bronkie-the-bronchiasaurus                                          |           65 |
|  146 | brunswick-world-tournament-of-champions                             |           70 |
|  147 | brutal-paws-of-fury                                                 |           26 |
|  148 | bs-bdash                                                            |            3 |
|  149 | bs-busters-digital-magazine                                         |            6 |
|  150 | bs-dan-dan-belt-conveyor-milk-no-maki                               |            3 |
|  151 | bs-do-re-mi                                                         |           20 |
|  152 | bs-dragon-quest                                                     |           70 |
|  153 | bs-nichibutsu-mahjong                                               |            5 |
|  154 | bs-nintama-rantarou-2                                               |           12 |
|  155 | bs-zelda                                                            |           95 |
|  156 | bubsy-ii                                                            |           57 |
|  157 | bubsy-in-claws-encounters-of-the-furred-kind                        |           50 |
|  158 | bugs-bunny-in-rabbit-rampage                                        |           28 |
|  159 | bugs-life-a                                                         |            5 |
|  160 | bulls-vs-blazers-and-the-nba-playoffs                               |           21 |
|  161 | burai-hachigyoku-no-yuushi-densetsu                                 |            7 |
|  162 | bushi-seiryuuden-futari-no-yuusha                                   |           89 |
|  163 | bust-a-move                                                         |           60 |
|  164 | cacoma-knight-in-bizyland                                           |            8 |
|  165 | cal-ripken-jr-baseball                                              |            6 |
|  166 | cannon-fodder                                                       |           84 |
|  167 | cannondale-cup                                                      |           68 |
|  168 | capcoms-mvp-football                                                |            5 |
|  169 | capcoms-soccer-shootout                                             |          362 |
|  170 | captain-america-and-the-avengers                                    |           11 |
