|      | game_id                                                             |   num_soundtracks |
|  123 | bishoujo-senshi-sailor-moon-another-story                           |                32 |
|  124 | bishoujo-senshi-sailor-moon-r                                       |                19 |
|  125 | bishoujo-senshi-sailor-moon-s-juugai-rantou-shuyaku-soudatsusen     |                14 |
|  126 | bishoujo-senshi-sailor-moon-s-kondo-wa-puzzle-de-oshioki-yo         |                 2 |
|  127 | bishoujo-senshi-sailor-moon-s-kurukkurin                            |                 9 |
|  128 | bishoujo-senshi-sailor-moon-super-s-fuwa-fuwa-panic                 |                13 |
|  129 | bishoujo-senshi-sailor-moon-super-s-zenin-sanka-shuyaku-soudatsusen |                11 |
|  130 | bishoujo-wrestler-retsuden-blizzard-yuki-rannyuu                    |                 5 |
|  131 | blazeon-the-bio-cyborg-challenge                                    |                11 |
|  132 | block-kuzushi                                                       |                12 |
|  133 | blues-brothers-the                                                  |                 5 |
|  134 | bob                                                                 |                 6 |
|  135 | bobbys-world                                                        |                 7 |
|  136 | bomberman-b-daman                                                   |                11 |
|  137 | bonkers                                                             |                15 |
|  138 | boogerman-a-pick-and-flick-adventure                                |                11 |
|  139 | bouncing-ball-trainer                                               |                 2 |
|  140 | bounty-sword                                                        |                 9 |
|  141 | boxing-legends-of-the-ring-[chavez-ii]                              |                 7 |
|  142 | brain-lord                                                          |                21 |
|  143 | brainies-the                                                        |                 8 |
|  144 | bram-stokers-dracula                                                |                 4 |
|  145 | brandish                                                            |                19 |
|  146 | brandish-2-the-planet-buster                                        |                 9 |
|  147 | brawl-brothers                                                      |                11 |
|  148 | breakthru                                                           |                 2 |
|  149 | breath-of-fire                                                      |                27 |
|  150 | breath-of-fire-2                                                    |                35 |
|  151 | brett-hull-hockey                                                   |                 6 |
|  152 | brett-hull-hockey-95                                                |                 3 |
|  153 | bronkie-the-bronchiasaurus                                          |                17 |
|  154 | brunswick-world-tournament-of-champions                             |                 4 |
|  155 | brutal-paws-of-fury                                                 |                 6 |
|  156 | bs-bdash                                                            |                 3 |
|  157 | bs-busters-digital-magazine                                         |                 2 |
|  158 | bs-dan-dan-belt-conveyor-milk-no-maki                               |                 3 |
|  159 | bs-do-re-mi                                                         |                 5 |
|  160 | bs-dragon-quest                                                     |                10 |
|  161 | bs-nichibutsu-mahjong                                               |                 5 |
|  162 | bs-nintama-rantarou-2                                               |                 7 |
|  163 | bs-zelda                                                            |                 7 |
|  164 | bubsy-ii                                                            |                57 |
|  165 | bubsy-in-claws-encounters-of-the-furred-kind                        |                20 |
|  166 | bugs-bunny-in-rabbit-rampage                                        |                16 |
|  167 | bugs-life-a                                                         |                 5 |
|  168 | bulls-vs-blazers-and-the-nba-playoffs                               |                 4 |
|  169 | burai-hachigyoku-no-yuushi-densetsu                                 |                 7 |
|  170 | bushi-seiryuuden-futari-no-yuusha                                   |                89 |
|  171 | bust-a-move                                                         |                 5 |
|  172 | cacoma-knight-in-bizyland                                           |                 8 |
|  173 | cal-ripken-jr-baseball                                              |                 6 |
|  174 | cannon-fodder                                                       |                 6 |
|  175 | cannondale-cup                                                      |                11 |
|  176 | capcoms-mvp-football                                                |                 1 |
|  177 | capcoms-soccer-shootout                                             |                26 |
|  178 | captain-america-and-the-avengers                                    |                11 |
|  179 | captain-commando                                                    |                20 |
|  180 | captain-novolin                                                     |                10 |
|  181 | captain-tsubasa-iii-koutei-no-chousen                               |                28 |
|  182 | captain-tsubasa-iv-pro-no-rival-tachi                               |                 5 |
|  183 | captain-tsubasa-j-the-way-to-world-youth                            |                 7 |
|  184 | captain-tsubasa-v-hasha-no-shougou-champion                         |                15 |
|  185 | caravan-shooting-collection                                         |                11 |
|  186 | carrier-aces                                                        |                 5 |
|  187 | casper                                                              |                 6 |
|  188 | casper-1997                                                         |                11 |
|  189 | castlevania-dracula-x-[castlevania-vampires-kiss]                   |                18 |
|  190 | cb-chara-wars-ushinawareta-gag                                      |                19 |
|  191 | champions-world-class-soccer                                        |                 2 |
|  192 | championship-pool                                                   |                 3 |
|  193 | championship-soccer-94                                              |                 1 |
|  194 | chaos-seed-feng-shui-kairouki                                       |                 6 |
|  195 | cheap-de-gorgeous                                                   |                 6 |
|  196 | chester-cheetah-too-cool-to-fool                                    |                10 |
|  197 | chester-cheetah-wild-wild-quest                                     |                14 |
|  198 | chinhai                                                             |                 5 |
|  199 | choplifter-iii-rescue-survive                                       |                 7 |
