|    | genre      |   num_videos |
|----|------------|--------------|
|  0 | Action     |        25396 |
|  1 | Adventure  |         8427 |
|  2 | Fighting   |        19492 |
|  3 | Platform   |        45628 |
|  4 | Puzzle     |        10310 |
|  5 | RPG        |        89573 |
|  6 | Racing     |         9269 |
|  7 | Shooters   |        15758 |
|  8 | Simulation |         7770 |
|  9 | Sports     |        17455 |
| 10 | Strategy   |        19703 |
