|      | game_id                                                             |   num_videos |
|  124 | bishoujo-senshi-sailor-moon-s-juugai-rantou-shuyaku-soudatsusen     |           27 |
|  125 | bishoujo-senshi-sailor-moon-s-kondo-wa-puzzle-de-oshioki-yo         |            5 |
|  126 | bishoujo-senshi-sailor-moon-s-kurukkurin                            |           19 |
|  127 | bishoujo-senshi-sailor-moon-super-s-fuwa-fuwa-panic                 |           74 |
|  128 | bishoujo-senshi-sailor-moon-super-s-zenin-sanka-shuyaku-soudatsusen |           21 |
|  129 | bishoujo-wrestler-retsuden-blizzard-yuki-rannyuu                    |            7 |
|  130 | blazeon-the-bio-cyborg-challenge                                    |           74 |
|  131 | block-kuzushi                                                       |           65 |
|  132 | blues-brothers-the                                                  |           20 |
|  133 | bob                                                                 |           83 |
|  134 | bobbys-world                                                        |           14 |
|  135 | bomberman-b-daman                                                   |           43 |
|  136 | bonkers                                                             |           15 |
|  137 | boogerman-a-pick-and-flick-adventure                                |           33 |
|  138 | bouncing-ball-trainer                                               |            2 |
|  139 | bounty-sword                                                        |            9 |
|  140 | boxing-legends-of-the-ring-[chavez-ii]                              |           75 |
|  141 | brain-lord                                                          |           38 |
|  142 | brainies-the                                                        |           72 |
|  143 | bram-stokers-dracula                                                |            4 |
|  144 | brandish                                                            |          163 |
|  145 | brandish-2-the-planet-buster                                        |           18 |
|  146 | brawl-brothers                                                      |           29 |
|  147 | breakthru                                                           |            8 |
|  148 | breath-of-fire                                                      |           27 |
|  149 | breath-of-fire-2                                                    |          141 |
|  150 | brett-hull-hockey                                                   |           13 |
|  151 | brett-hull-hockey-95                                                |            6 |
|  152 | bronkie-the-bronchiasaurus                                          |           65 |
|  153 | brunswick-world-tournament-of-champions                             |           70 |
|  154 | brutal-paws-of-fury                                                 |           26 |
|  155 | bs-bdash                                                            |            3 |
|  156 | bs-busters-digital-magazine                                         |            6 |
|  157 | bs-dan-dan-belt-conveyor-milk-no-maki                               |            3 |
|  158 | bs-do-re-mi                                                         |           20 |
|  159 | bs-dragon-quest                                                     |           70 |
|  160 | bs-nichibutsu-mahjong                                               |            5 |
|  161 | bs-nintama-rantarou-2                                               |           12 |
|  162 | bs-zelda                                                            |           95 |
|  163 | bubsy-ii                                                            |           57 |
|  164 | bubsy-in-claws-encounters-of-the-furred-kind                        |           50 |
|  165 | bugs-bunny-in-rabbit-rampage                                        |           28 |
|  166 | bugs-life-a                                                         |            5 |
|  167 | bulls-vs-blazers-and-the-nba-playoffs                               |           21 |
|  168 | burai-hachigyoku-no-yuushi-densetsu                                 |            7 |
|  169 | bushi-seiryuuden-futari-no-yuusha                                   |           89 |
|  170 | bust-a-move                                                         |           60 |
|  171 | cacoma-knight-in-bizyland                                           |            8 |
|  172 | cal-ripken-jr-baseball                                              |            6 |
