|      | game_id                                                             |   num_videos |
|  121 | bishoujo-senshi-sailor-moon-super-s-fuwa-fuwa-panic                 |          118 |
|  122 | bishoujo-senshi-sailor-moon-super-s-zenin-sanka-shuyaku-soudatsusen |           46 |
|  123 | bishoujo-wrestler-retsuden-blizzard-yuki-rannyuu                    |           16 |
|  124 | blazeon-the-bio-cyborg-challenge                                    |          122 |
|  125 | block-kuzushi                                                       |          288 |
|  126 | blues-brothers-the                                                  |           81 |
|  127 | bob                                                                 |          375 |
|  128 | bobbys-world                                                        |           71 |
|  129 | bomberman-b-daman                                                   |          131 |
|  130 | bonkers                                                             |           77 |
|  131 | boogerman-a-pick-and-flick-adventure                                |          140 |
|  132 | bouncing-ball-trainer                                               |            7 |
|  133 | bounty-sword                                                        |           21 |
|  134 | boxing-legends-of-the-ring-[chavez-ii]                              |          154 |
|  135 | brain-lord                                                          |          400 |
|  136 | brainies-the                                                        |          321 |
|  137 | bram-stokers-dracula                                                |            5 |
|  138 | brandish-2-the-planet-buster                                        |          158 |
|  139 | brawl-brothers                                                      |           55 |
|  140 | breakthru                                                           |           11 |
|  141 | breath-of-fire                                                      |          406 |
|  142 | breath-of-fire-2                                                    |         1499 |
|  143 | brett-hull-hockey                                                   |           28 |
|  144 | brett-hull-hockey-95                                                |            8 |
|  145 | bronkie-the-bronchiasaurus                                          |          274 |
|  146 | brunswick-world-tournament-of-champions                             |          189 |
|  147 | brutal-paws-of-fury                                                 |           53 |
|  148 | bs-bdash                                                            |            5 |
|  149 | bs-busters-digital-magazine                                         |           12 |
|  150 | bs-dan-dan-belt-conveyor-milk-no-maki                               |            8 |
|  151 | bs-do-re-mi                                                         |           95 |
|  152 | bs-dragon-quest                                                     |          629 |
|  153 | bs-nichibutsu-mahjong                                               |           11 |
|  154 | bs-nintama-rantarou-2                                               |           32 |
|  155 | bs-zelda                                                            |          280 |
|  156 | bubsy-ii                                                            |          164 |
|  157 | bubsy-in-claws-encounters-of-the-furred-kind                        |          263 |
|  158 | bugs-bunny-in-rabbit-rampage                                        |          185 |
|  159 | bugs-life-a                                                         |           25 |
|  160 | bulls-vs-blazers-and-the-nba-playoffs                               |           57 |
|  161 | burai-hachigyoku-no-yuushi-densetsu                                 |           25 |
|  162 | bushi-seiryuuden-futari-no-yuusha                                   |         1326 |
|  163 | bust-a-move                                                         |          244 |
|  164 | cacoma-knight-in-bizyland                                           |           27 |
|  165 | cal-ripken-jr-baseball                                              |           14 |
|  166 | cannon-fodder                                                       |          151 |
|  167 | cannondale-cup                                                      |           80 |
|  168 | capcoms-mvp-football                                                |            8 |
|  169 | capcoms-soccer-shootout                                             |          868 |
|  170 | captain-america-and-the-avengers                                    |           34 |
|  171 | captain-commando                                                    |           95 |
|  172 | captain-novolin                                                     |           50 |
|  173 | captain-tsubasa-iii-koutei-no-chousen                               |         1340 |
|  174 | captain-tsubasa-iv-pro-no-rival-tachi                               |            9 |
|  175 | captain-tsubasa-j-the-way-to-world-youth                            |          108 |
|  176 | captain-tsubasa-v-hasha-no-shougou-champion                         |           42 |
|  177 | caravan-shooting-collection                                         |           15 |
|  178 | carrier-aces                                                        |           29 |
|  179 | casper                                                              |          159 |
|  180 | casper-1997                                                         |           56 |
|  181 | castlevania-dracula-x-[castlevania-vampires-kiss]                   |          358 |
|  182 | cb-chara-wars-ushinawareta-gag                                      |         1459 |
|  183 | champions-world-class-soccer                                        |           40 |
|  184 | championship-pool                                                   |           20 |
|  185 | championship-soccer-94                                              |           27 |
|  186 | chaos-seed-feng-shui-kairouki                                       |            6 |
|  187 | cheap-de-gorgeous                                                   |           27 |
|  188 | chester-cheetah-too-cool-to-fool                                    |           74 |
|  189 | chester-cheetah-wild-wild-quest                                     |          120 |
|  190 | chinhai                                                             |           57 |
|  191 | choplifter-iii-rescue-survive                                       |          244 |
|  192 | chou-aniki-bakuretsu-rantou-hen                                     |           69 |
|  193 | chou-genjin-2                                                       |          169 |
|  194 | chou-mahou-tairiku-wozz                                             |            6 |
|  195 | choujikuu-yousai-macross-scrambled-valkyrie                         |          115 |
|  196 | christmas-craze                                                     |            3 |
|  197 | christmas-demo                                                      |           76 |
|  198 | chrono-trigger                                                      |          148 |
|  199 | chrono-trigger-1995                                                 |          208 |
|  200 | chuck-rock                                                          |          112 |
|  201 | classic-road                                                        |            7 |
|  202 | classic-road-ii                                                     |            5 |
|  203 | clay-fighter                                                        |           40 |
|  204 | cliffhanger                                                         |          118 |
|  205 | clockworks                                                          |           33 |
|  206 | clue                                                                |          102 |
|  207 | college-slam                                                        |           23 |
|  208 | columns                                                             |           68 |
|  209 | combatribes-the                                                     |           98 |
|  210 | computer-nouryoku-kaiseki-ultra-baken                               |           16 |
|  211 | congo-the-movie-the-secret-of-zinj                                  |           10 |
|  212 | congos-caper                                                        |          129 |
|  213 | contra-iii-the-alien-wars                                           |           73 |
|  214 | cool-spot                                                           |          229 |
|  215 | cool-world                                                          |           81 |
|  216 | corn-buster                                                         |           37 |
|  217 | coron-land                                                          |          123 |
|  218 | cosmo-gang-the-puzzle                                               |            8 |
|  219 | cosmo-gang-the-video                                                |           64 |
|  220 | cosmo-police-galivan-ii-arrow-of-justice                            |           66 |
|  221 | crayon-shin-chan-2-daimaou-no-gyakushuu                             |            7 |
|  222 | crayon-shin-chan-arashi-wo-yobu-enji                                |           39 |
|  223 | crayon-shin-chan-nagagutsu-dobon                                    |           31 |
|  224 | crystal-beans-from-dungeon-explorer                                 |          282 |
|  225 | cu-on-pa-sfc                                                        |           18 |
|  226 | cyber-knight-ii-chikyuu-teikoku-no-yabou                            |            1 |
|  227 | cybernator                                                          |          170 |
|  228 | cyborg-009                                                          |          167 |
|  229 | d-force                                                             |          197 |
|  230 | daffy-duck-the-marvin-missions                                      |          117 |
|  231 | daibakushou-jinsei-gekijou                                          |           86 |
|  232 | daikaijuu-monogatari                                                |            2 |
|  233 | daisenryaku-expert                                                  |            6 |
|  234 | daisenryaku-expert-wwii-war-in-europe                               |            5 |
|  235 | darius-twin                                                         |           76 |
|  236 | dark-half                                                           |          615 |
|  237 | dark-kingdom                                                        |           54 |
|  238 | dark-law-meaning-of-death                                           |           25 |
|  239 | date-kimiko-no-virtual-tennis                                       |            5 |
|  240 | david-cranes-amazing-tennis                                         |           56 |
|  241 | daze-before-christmas                                               |          142 |
|  242 | deae-tonosama-appare-ichiban                                        |          217 |
|  243 | dear-boys                                                           |           33 |
|  244 | death-and-return-of-superman-the                                    |          130 |
|  245 | death-brade                                                         |           44 |
|  246 | dekitate-high-school                                                |            7 |
|  247 | demolition-man                                                      |           94 |
|  248 | demons-crest                                                        |          249 |
|  249 | dennis-the-menace                                                   |          241 |
|  250 | der-langrisser                                                      |         2137 |
|  251 | derby-jockey-2                                                      |            4 |
|  252 | derby-jockey-kishou-he-no-michi                                     |            3 |
|  253 | desert-strike-return-to-the-gulf                                    |           33 |
|  254 | dino-dinis-soccer                                                   |           32 |
|  255 | dinocity                                                            |          134 |
|  256 | dirt-racer                                                          |          260 |
|  257 | dirt-trax-fx                                                        |          161 |
|  258 | do-re-mi-fantasy-milon-no-doki-doki-daibouken                       |          478 |
|  259 | dokapon-3-2-1-arashi-wo-yobu-yuujou                                 |           24 |
|  260 | dolucky-no-aleague-soccer                                           |           66 |
|  261 | dolucky-no-kusa-yakyu                                               |           23 |
|  262 | donald-duck-mahou-no-boushi                                         |          153 |
|  263 | donkey-kong                                                         |            4 |
|  264 | donkey-kong-country                                                 |          482 |
|  265 | doom-troopers-the-mutant-chronicles                                 |           38 |
|  266 | doomsday-warrior                                                    |           63 |
|  267 | doraemon-2-nobita-no-toys-land-daibouken                            |          109 |
|  268 | doraemon-3-nobita-to-toki-no-hougyoku                               |           82 |
|  269 | doraemon-4-nobita-to-tsuki-no-oukoku                                |          425 |
|  270 | doraemon-nobita-to-yousei-no-kuni                                   |          109 |
|  271 | dorque-and-imp                                                      |            9 |
|  272 | dossun-ganseki-battle                                               |          113 |
|  273 | double-dragon-v-the-shadow-falls                                    |           72 |
|  274 | doukyuusei-2                                                        |           19 |
|  275 | down-the-world-mervils-ambition                                     |            4 |
|  276 | dragon-ball-z-chou-gokuu-den-kakusei-hen                            |          546 |
|  277 | dragon-ball-z-chou-gokuu-den-totsugeki-hen                          |         1014 |
|  278 | dragon-ball-z-hyper-dimension                                       |           97 |
|  279 | dragon-ball-z-rpg-super-saiya-densetsu                              |         2503 |
|  280 | dragon-ball-z-super-butouden                                        |           49 |
|  281 | dragon-ball-z-super-butouden-2                                      |           86 |
|  282 | dragon-ball-z-super-butouden-3                                      |           84 |
|  283 | dragon-knight-4                                                     |            9 |
|  284 | dragon-quest-i-ii                                                   |         1321 |
|  285 | dragon-quest-iii-and-into-the-legend                                |          317 |
|  286 | dragon-quest-v-hand-of-the-heavenly-bride                           |          809 |
|  287 | dragon-quest-vi-realms-of-reverie                                   |          955 |
|  288 | dragon-slayer-eiyuu-densetsu                                        |          776 |
|  289 | dragon-slayer-eiyuu-densetsu-ii                                     |           51 |
|  290 | dragon-the-bruce-lee-story                                          |           54 |
|  291 | dragon-view                                                         |         1358 |
|  292 | dragons-earth                                                       |          566 |
|  293 | dragons-lair                                                        |           80 |
|  294 | drakkhen                                                            |          584 |
|  295 | dream-basketball-dunk-hoop                                          |           48 |
|  296 | dream-tv                                                            |          102 |
|  297 | drift-king-shutokou-battle-2                                        |            9 |
|  298 | dual-orb-seireiju-densetsu                                          |          872 |
|  299 | dun-quest-majin-fuuin-no-densetsu                                   |           20 |
|  300 | dungeon-master                                                      |           59 |
|  301 | dynamitracer                                                        |           22 |
|  302 | earth-defense-force                                                 |          119 |
|  303 | earth-light-luna-strike                                             |           15 |
|  304 | earthworm-jim                                                       |          115 |
|  305 | earthworm-jim-2                                                     |          311 |
|  306 | edo-no-kiba                                                         |          103 |
|  307 | eek-the-cat                                                         |            6 |
|  308 | eien-no-filena                                                      |          959 |
|  309 | elfaria-a-fantastic-theater                                         |           26 |
|  310 | elfaria-ii-the-quest-of-the-meld                                    |          913 |
|  311 | elite-soccer                                                        |            9 |
|  312 | emerald-dragon                                                      |            8 |
|  313 | emmitt-smith-football                                               |           79 |
|  314 | energy-breaker                                                      |          208 |
|  315 | equinox                                                             |          517 |
|  316 | esparks-ijikuu-kara-no-raihousha                                    |            5 |
|  317 | espn-baseball-tonight                                               |            4 |
|  318 | espn-national-hockey-night                                          |           13 |
|  319 | espn-speed-world                                                    |            3 |
|  320 | espn-sunday-night-nfl                                               |          305 |
|  321 | eurit                                                               |           31 |
|  322 | evo-search-for-eden                                                 |          862 |
|  323 | excitebike-bun-bun-mario-battle-stadium                             |            7 |
|  324 | extra-innings                                                       |           63 |
|  325 | f-1-grand-prix                                                      |          136 |
|  326 | f-1-grand-prix-part-ii                                              |           45 |
|  327 | f-1-grand-prix-part-iii                                             |           65 |
|  328 | f-1-roc-ii-race-of-champions                                        |           20 |
|  329 | f-1-roc-race-of-champions                                           |           90 |
|  330 | f-zero                                                              |          139 |
|  331 | f1-pole-position                                                    |           80 |
|  332 | f1-pole-position-2                                                  |           61 |
|  333 | f1-world-championship-edition                                       |            7 |
|  334 | famicom-tantei-club-2-ushiro-ni-tatsu-shoujo                        |            2 |
|  335 | family-dog                                                          |           34 |
|  336 | family-feud                                                         |           47 |
|  337 | farland-story                                                       |           11 |
|  338 | farland-story-2                                                     |           13 |
|  339 | fatal-fury                                                          |           56 |
|  340 | fatal-fury-2                                                        |           83 |
|  341 | fatal-fury-special                                                  |           81 |
|  342 | fifa-soccer-96                                                      |            7 |
|  343 | fifa-soccer-97                                                      |           35 |
|  344 | fifa-soccer-97-1996                                                 |          133 |
|  345 | fighters-history                                                    |           60 |
|  346 | fighters-history-mizoguchi-kiki-ippatsu                             |           78 |
|  347 | final-fantasy-iv                                                    |          302 |
|  348 | final-fantasy-mystic-quest-[mystic-quest-legend]                    |          328 |
|  349 | final-fantasy-v                                                     |          443 |
|  350 | final-fantasy-vi                                                    |          644 |
|  351 | final-fight                                                         |          158 |
|  352 | final-fight-2                                                       |           98 |
|  353 | final-stretch                                                       |            5 |
|  354 | finalset                                                            |            2 |
|  355 | fire-emblem-monshou-no-nazo                                         |          199 |
|  356 | fire-emblem-thracia-776                                             |          335 |
|  357 | fire-pro-joshi-all-star-dream-slam                                  |           48 |
|  358 | firearm                                                             |           36 |
|  359 | firemen-the                                                         |          163 |
|  360 | firepower-2000                                                      |           91 |
|  361 | firestriker                                                         |          180 |
|  362 | fireteam-rogue                                                      |           38 |
|  363 | first-queen-ornic-senki                                             |            8 |
|  364 | first-samurai                                                       |          112 |
|  365 | flashback-the-quest-for-identity                                    |           26 |
|  366 | flintstones-the                                                     |          134 |
|  367 | flintstones-the-treasure-of-sierra-madrock                          |          336 |
|  368 | flying-hero-bugyuruu-no-daibouken                                   |           98 |
|  369 | football-fury                                                       |           67 |
|  370 | foreman-for-real                                                    |           71 |
|  371 | frantic-flea                                                        |          295 |
|  372 | frognes                                                             |            1 |
|  373 | front-mission                                                       |           68 |
|  374 | front-mission-gun-hazard                                            |          712 |
|  375 | full-throttle-all-american-racing                                   |           13 |
|  376 | fun-n-games                                                         |           57 |
|  377 | fushigi-no-dungeon-torneko-no-daibouken                             |          431 |
|  378 | gakkou-de-atta-kowai-hanashi                                        |           58 |
|  379 | galaxy-wars                                                         |           28 |
|  380 | gamars-copier                                                       |            3 |
|  381 | gamble-hourouki                                                     |           16 |
|  382 | gambler-jiko-chuushinha-2-dorapon-quest                             |           11 |
|  383 | game-no-tetsujin-the-shanghai                                       |           11 |
|  384 | gamera-gyaos-gekimetsu-sakusen                                      |           55 |
|  385 | gan-gan-ganchan                                                     |           85 |
|  386 | ganbare-daiku-no-gen-san                                            |          122 |
|  387 | ganbare-goemon-2-kiteretsu-shougun-magginesu                        |          351 |
|  388 | ganbare-goemon-3-shishi-juurokubee-no-karakuri-manjigatame          |          742 |
|  389 | ganso-pachinko-ou                                                   |            5 |
|  390 | garry-kitchens-super-battletank-war-in-the-gulf                     |            9 |
|  391 | gd-leen                                                             |            6 |
|  392 | gegege-no-kitaro-fukkatsu-tenma-daiou                               |          134 |
|  393 | gekisou-sentai-car-rangers-zenkai-racer-senshi                      |           48 |
|  394 | gekitotsu-dangan-jidousha-kessen-battle-mobile                      |           75 |
|  395 | gekitou-burning-prowrestling                                        |           45 |
|  396 | gemfire                                                             |         1822 |
|  397 | genjuu-ryodan                                                       |            6 |
|  398 | genocide-2                                                          |          105 |
|  399 | george-foremans-ko-boxing                                           |           38 |
|  400 | get-in-the-hole                                                     |           65 |
|  401 | getsumen-no-anubis                                                  |           92 |
|  402 | ghost-chaser-densei                                                 |          194 |
|  403 | ghost-sweeper-mikami-joreishi-wa-nice-body                          |          120 |
|  404 | ghoul-patrol                                                        |          148 |
|  405 | ginga-eiyuu-densetsu                                                |            6 |
|  406 | ginga-sengoku-gunyuuden-rai                                         |            5 |
|  407 | gionbana                                                            |            5 |
|  408 | go-go-ackman                                                        |           96 |
|  409 | go-go-ackman-2                                                      |           82 |
|  410 | go-go-ackman-3                                                      |          130 |
|  411 | go-go-dodge-league                                                  |           27 |
|  412 | god-mezameyo-to-yobu-koe-ha-kikoe                                   |            5 |
|  413 | gods                                                                |          164 |
|  414 | godzilla-kaijuu-daikessen                                           |           61 |
