video,soundtrack,input_confidence,fingerprint_confidence
3-ninjas-kick-back_00179.mp4,soundtrack_0008,2.22,0.06
3-ninjas-kick-back_00181.mp4,None,None,None
3-ninjas-kick-back_00183.mp4,soundtrack_0008,1.16,0.15
3-ninjas-kick-back_00185.mp4,soundtrack_0008,2.76,0.21
3-ninjas-kick-back_00187.mp4,soundtrack_0008,1.74,0.16
3-ninjas-kick-back_00189.mp4,soundtrack_0008,0.82,0.07
3-ninjas-kick-back_00191.mp4,soundtrack_0008,1.58,0.15
3-ninjas-kick-back_00193.mp4,soundtrack_0008,0.88,0.07
3-ninjas-kick-back_00195.mp4,soundtrack_0007,0.03,0.02
3-ninjas-kick-back_00197.mp4,None,None,None
3-ninjas-kick-back_00199.mp4,None,None,None
3-ninjas-kick-back_00201.mp4,soundtrack_0012,0.11,0.01
3-ninjas-kick-back_00203.mp4,soundtrack_0006,1.65,0.26
3-ninjas-kick-back_00205.mp4,soundtrack_0011,0.63,0.39
3-ninjas-kick-back_00207.mp4,soundtrack_0006,1.93,0.26
3-ninjas-kick-back_00209.mp4,soundtrack_0006,1.39,0.23
3-ninjas-kick-back_00211.mp4,soundtrack_0006,1.52,0.22
3-ninjas-kick-back_00213.mp4,soundtrack_0006,2.96,0.31
3-ninjas-kick-back_00215.mp4,soundtrack_0006,2.6,0.34
3-ninjas-kick-back_00217.mp4,soundtrack_0006,1.27,0.17
3-ninjas-kick-back_00219.mp4,soundtrack_0006,2.63,0.29
3-ninjas-kick-back_00221.mp4,soundtrack_0006,2.03,0.29
3-ninjas-kick-back_00223.mp4,None,None,None
3-ninjas-kick-back_00225.mp4,soundtrack_0012,0.13,0.03
3-ninjas-kick-back_00227.mp4,soundtrack_0010,0.01,0.0
3-ninjas-kick-back_00229.mp4,soundtrack_0010,0.01,0.0
3-ninjas-kick-back_00231.mp4,soundtrack_0007,0.13,0.05
3-ninjas-kick-back_00233.mp4,soundtrack_0012,0.11,0.04
3-ninjas-kick-back_00235.mp4,soundtrack_0006,2.55,0.34
3-ninjas-kick-back_00237.mp4,soundtrack_0013,0.39,0.04
3-ninjas-kick-back_00239.mp4,soundtrack_0013,0.76,0.08
3-ninjas-kick-back_00241.mp4,soundtrack_0013,0.4,0.03
3-ninjas-kick-back_00243.mp4,soundtrack_0013,0.36,0.05
3-ninjas-kick-back_00245.mp4,soundtrack_0013,0.92,0.07
3-ninjas-kick-back_00247.mp4,soundtrack_0013,0.82,0.11
3-ninjas-kick-back_00249.mp4,soundtrack_0013,0.87,0.06
3-ninjas-kick-back_00251.mp4,soundtrack_0009,0.36,0.03
3-ninjas-kick-back_00253.mp4,soundtrack_0013,0.48,0.05
3-ninjas-kick-back_00255.mp4,None,None,None
3-ninjas-kick-back_00257.mp4,None,None,None
3-ninjas-kick-back_00259.mp4,soundtrack_0009,0.37,0.05
3-ninjas-kick-back_00261.mp4,soundtrack_0009,0.3,0.04
3-ninjas-kick-back_00263.mp4,soundtrack_0009,0.1,0.0
3-ninjas-kick-back_00265.mp4,soundtrack_0012,0.13,0.01
3-ninjas-kick-back_00267.mp4,soundtrack_0009,0.15,0.02
3-ninjas-kick-back_00269.mp4,soundtrack_0013,0.27,0.04
3-ninjas-kick-back_00271.mp4,soundtrack_0009,0.11,0.01
3-ninjas-kick-back_00273.mp4,soundtrack_0009,0.26,0.04
3-ninjas-kick-back_00275.mp4,soundtrack_0009,0.15,0.06
3-ninjas-kick-back_00277.mp4,soundtrack_0009,0.34,0.05
3-ninjas-kick-back_00279.mp4,None,None,None
3-ninjas-kick-back_00281.mp4,soundtrack_0010,0.16,0.06
3-ninjas-kick-back_00283.mp4,soundtrack_0010,0.07,0.03
3-ninjas-kick-back_00285.mp4,soundtrack_0010,0.12,0.03
3-ninjas-kick-back_00287.mp4,soundtrack_0010,0.14,0.04
3-ninjas-kick-back_00289.mp4,soundtrack_0012,0.09,0.02
3-ninjas-kick-back_00291.mp4,soundtrack_0004,1.07,0.13
3-ninjas-kick-back_00293.mp4,None,None,None
3-ninjas-kick-back_00295.mp4,None,None,None
3-ninjas-kick-back_00297.mp4,soundtrack_0005,0.8,0.25
3-ninjas-kick-back_00299.mp4,soundtrack_0005,0.72,0.24
3-ninjas-kick-back_00301.mp4,soundtrack_0005,1.16,0.3
3-ninjas-kick-back_00303.mp4,soundtrack_0005,0.41,0.12
3-ninjas-kick-back_00305.mp4,soundtrack_0005,0.68,0.16
3-ninjas-kick-back_00307.mp4,soundtrack_0005,0.8,0.17
3-ninjas-kick-back_00309.mp4,soundtrack_0005,0.89,0.25
3-ninjas-kick-back_00311.mp4,soundtrack_0005,0.22,0.08
3-ninjas-kick-back_00313.mp4,soundtrack_0003,0.73,0.04
3-ninjas-kick-back_00315.mp4,soundtrack_0003,0.82,0.05
3-ninjas-kick-back_00317.mp4,soundtrack_0003,1.15,0.06
3-ninjas-kick-back_00319.mp4,soundtrack_0003,0.28,0.05
3-ninjas-kick-back_00321.mp4,soundtrack_0003,1.2,0.09
3-ninjas-kick-back_00323.mp4,soundtrack_0003,1.2,0.06
3-ninjas-kick-back_00325.mp4,soundtrack_0003,0.56,0.11
3-ninjas-kick-back_00327.mp4,soundtrack_0012,0.18,0.07
3-ninjas-kick-back_00329.mp4,soundtrack_0004,0.98,0.16
3-ninjas-kick-back_00331.mp4,soundtrack_0012,0.06,0.03
3-ninjas-kick-back_00333.mp4,soundtrack_0002,0.26,0.02
3-ninjas-kick-back_00335.mp4,soundtrack_0002,1.56,0.15
3-ninjas-kick-back_00337.mp4,soundtrack_0002,0.8,0.09
3-ninjas-kick-back_00339.mp4,soundtrack_0002,0.56,0.05
3-ninjas-kick-back_00341.mp4,soundtrack_0002,0.16,0.02
3-ninjas-kick-back_00343.mp4,soundtrack_0002,0.29,0.03
3-ninjas-kick-back_00345.mp4,soundtrack_0009,0.01,0.0
3-ninjas-kick-back_00347.mp4,soundtrack_0002,0.83,0.07
3-ninjas-kick-back_00349.mp4,soundtrack_0012,0.12,0.06
3-ninjas-kick-back_00351.mp4,soundtrack_0002,0.02,0.0
3-ninjas-kick-back_00353.mp4,soundtrack_0007,0.08,0.04
3-ninjas-kick-back_00355.mp4,soundtrack_0004,0.76,0.12
