|      | game_id                                                             |   num_videos |
|  119 | bram-stokers-dracula                                                |            4 |
|  120 | brandish-2-the-planet-buster                                        |           18 |
|  121 | brawl-brothers                                                      |           29 |
|  122 | breakthru                                                           |            8 |
|  123 | breath-of-fire                                                      |           27 |
|  124 | brett-hull-hockey                                                   |           13 |
|  125 | brett-hull-hockey-95                                                |            6 |
|  126 | brunswick-world-tournament-of-champions                             |           70 |
|  127 | brutal-paws-of-fury                                                 |           26 |
|  128 | bs-bdash                                                            |            3 |
|  129 | bs-busters-digital-magazine                                         |            6 |
|  130 | bs-dan-dan-belt-conveyor-milk-no-maki                               |            3 |
|  131 | bs-do-re-mi                                                         |           20 |
|  132 | bs-dragon-quest                                                     |           70 |
|  133 | bs-nichibutsu-mahjong                                               |            5 |
|  134 | bs-nintama-rantarou-2                                               |           12 |
|  135 | bs-zelda                                                            |           95 |
|  136 | bugs-bunny-in-rabbit-rampage                                        |           28 |
|  137 | bugs-life-a                                                         |            5 |
|  138 | bulls-vs-blazers-and-the-nba-playoffs                               |           21 |
|  139 | burai-hachigyoku-no-yuushi-densetsu                                 |            7 |
|  140 | bushi-seiryuuden-futari-no-yuusha                                   |           89 |
|  141 | bust-a-move                                                         |           60 |
|  142 | cacoma-knight-in-bizyland                                           |            8 |
|  143 | cal-ripken-jr-baseball                                              |            6 |
|  144 | cannon-fodder                                                       |           84 |
|  145 | cannondale-cup                                                      |           68 |
|  146 | capcoms-mvp-football                                                |            5 |
|  147 | captain-america-and-the-avengers                                    |           11 |
|  148 | captain-commando                                                    |           37 |
|  149 | captain-novolin                                                     |           10 |
|  150 | captain-tsubasa-iv-pro-no-rival-tachi                               |            5 |
|  151 | captain-tsubasa-j-the-way-to-world-youth                            |           47 |
|  152 | captain-tsubasa-v-hasha-no-shougou-champion                         |           15 |
|  153 | caravan-shooting-collection                                         |           11 |
|  154 | carrier-aces                                                        |           21 |
|  155 | casper                                                              |           37 |
|  156 | casper-1997                                                         |           38 |
|  157 | champions-world-class-soccer                                        |           17 |
|  158 | championship-pool                                                   |            9 |
|  159 | championship-soccer-94                                              |           18 |
|  160 | chaos-seed-feng-shui-kairouki                                       |            6 |
|  161 | cheap-de-gorgeous                                                   |            6 |
|  162 | chester-cheetah-too-cool-to-fool                                    |           10 |
|  163 | chester-cheetah-wild-wild-quest                                     |           28 |
|  164 | chinhai                                                             |           29 |
|  165 | chou-aniki-bakuretsu-rantou-hen                                     |           30 |
|  166 | chou-genjin-2                                                       |           39 |
|  167 | chou-mahou-tairiku-wozz                                             |            2 |
|  168 | choujikuu-yousai-macross-scrambled-valkyrie                         |           60 |
|  169 | christmas-craze                                                     |            2 |
|  170 | christmas-demo                                                      |           35 |
|  171 | chrono-trigger                                                      |           21 |
|  172 | chrono-trigger-1995                                                 |           19 |
|  173 | chuck-rock                                                          |           24 |
|  174 | classic-road                                                        |            7 |
|  175 | classic-road-ii                                                     |            3 |
|  176 | clay-fighter                                                        |           15 |
|  177 | cliffhanger                                                         |           52 |
|  178 | clockworks                                                          |            8 |
|  179 | clue                                                                |           50 |
|  180 | college-slam                                                        |           10 |
|  181 | columns                                                             |           19 |
|  182 | combatribes-the                                                     |           44 |
|  183 | computer-nouryoku-kaiseki-ultra-baken                               |           11 |
|  184 | congo-the-movie-the-secret-of-zinj                                  |            4 |
|  185 | congos-caper                                                        |           45 |
|  186 | contra-iii-the-alien-wars                                           |           25 |
|  187 | cool-spot                                                           |           46 |
|  188 | cool-world                                                          |           17 |
|  189 | corn-buster                                                         |            6 |
|  190 | coron-land                                                          |           21 |
|  191 | cosmo-gang-the-puzzle                                               |            6 |
|  192 | cosmo-gang-the-video                                                |           29 |
|  193 | cosmo-police-galivan-ii-arrow-of-justice                            |           30 |
|  194 | crayon-shin-chan-2-daimaou-no-gyakushuu                             |            2 |
|  195 | crayon-shin-chan-arashi-wo-yobu-enji                                |           13 |
|  196 | crayon-shin-chan-nagagutsu-dobon                                    |           18 |
|  197 | crystal-beans-from-dungeon-explorer                                 |           25 |
|  198 | cu-on-pa-sfc                                                        |            7 |
|  199 | cyber-knight-ii-chikyuu-teikoku-no-yabou                            |            1 |
|  200 | cybernator                                                          |          102 |
|  201 | cyborg-009                                                          |           52 |
|  202 | d-force                                                             |          122 |
|  203 | daffy-duck-the-marvin-missions                                      |           26 |
|  204 | daibakushou-jinsei-gekijou                                          |            9 |
|  205 | daikaijuu-monogatari                                                |            2 |
|  206 | daisenryaku-expert                                                  |            3 |
|  207 | daisenryaku-expert-wwii-war-in-europe                               |            3 |
|  208 | darius-twin                                                         |           44 |
|  209 | dark-kingdom                                                        |           19 |
|  210 | dark-law-meaning-of-death                                           |            3 |
|  211 | daruma-doujou                                                       |           94 |
|  212 | date-kimiko-no-virtual-tennis                                       |            4 |
|  213 | david-cranes-amazing-tennis                                         |           19 |
|  214 | daze-before-christmas                                               |           34 |
|  215 | deae-tonosama-appare-ichiban                                        |           76 |
|  216 | dear-boys                                                           |           11 |
|  217 | death-and-return-of-superman-the                                    |           45 |
|  218 | death-brade                                                         |           17 |
|  219 | dekitate-high-school                                                |            4 |
