|    | genre      |   num_videos |
|----|------------|--------------|
|  0 | Action     |         4694 |
|  1 | Adventure  |         2500 |
|  2 | Fighting   |         4260 |
|  3 | Platform   |         5133 |
|  4 | Puzzle     |         3235 |
|  5 | RPG        |         5174 |
|  6 | Racing     |         3387 |
|  7 | Shooters   |         4381 |
|  8 | Simulation |         2027 |
|  9 | Sports     |         4094 |
| 10 | Strategy   |         3424 |
