|    | genre      |   num_games |
|----|------------|-------------|
|  0 | Action     |         144 |
|  1 | Adventure  |          44 |
|  2 | Fighting   |         151 |
|  3 | Platform   |         294 |
|  4 | Puzzle     |         116 |
|  5 | RPG        |         197 |
|  6 | Racing     |          89 |
|  7 | Shooters   |         116 |
|  8 | Simulation |          77 |
|  9 | Sports     |         205 |
| 10 | Strategy   |          95 |
