|      | game_id                                                             |   num_soundtracks |
|  122 | bishoujo-senshi-sailor-moon-another-story                           |                32 |
|  123 | bishoujo-senshi-sailor-moon-r                                       |                19 |
|  124 | bishoujo-senshi-sailor-moon-s-juugai-rantou-shuyaku-soudatsusen     |                14 |
|  125 | bishoujo-senshi-sailor-moon-s-kondo-wa-puzzle-de-oshioki-yo         |                 2 |
|  126 | bishoujo-senshi-sailor-moon-s-kurukkurin                            |                 9 |
|  127 | bishoujo-senshi-sailor-moon-super-s-fuwa-fuwa-panic                 |                13 |
|  128 | bishoujo-senshi-sailor-moon-super-s-zenin-sanka-shuyaku-soudatsusen |                11 |
|  129 | bishoujo-wrestler-retsuden-blizzard-yuki-rannyuu                    |                 5 |
|  130 | blazeon-the-bio-cyborg-challenge                                    |                11 |
|  131 | block-kuzushi                                                       |                12 |
|  132 | blues-brothers-the                                                  |                 5 |
|  133 | bob                                                                 |                 6 |
|  134 | bobbys-world                                                        |                 7 |
|  135 | bomberman-b-daman                                                   |                11 |
|  136 | bonkers                                                             |                15 |
|  137 | boogerman-a-pick-and-flick-adventure                                |                11 |
|  138 | bouncing-ball-trainer                                               |                 2 |
|  139 | bounty-sword                                                        |                 9 |
|  140 | boxing-legends-of-the-ring-[chavez-ii]                              |                 7 |
|  141 | brain-lord                                                          |                21 |
|  142 | brainies-the                                                        |                 8 |
|  143 | bram-stokers-dracula                                                |                 4 |
|  144 | brandish                                                            |                19 |
|  145 | brandish-2-the-planet-buster                                        |                 9 |
|  146 | brawl-brothers                                                      |                11 |
|  147 | breakthru                                                           |                 2 |
|  148 | breath-of-fire                                                      |                27 |
|  149 | breath-of-fire-2                                                    |                35 |
|  150 | brett-hull-hockey                                                   |                 6 |
|  151 | brett-hull-hockey-95                                                |                 3 |
|  152 | bronkie-the-bronchiasaurus                                          |                17 |
|  153 | brunswick-world-tournament-of-champions                             |                 4 |
|  154 | brutal-paws-of-fury                                                 |                 6 |
|  155 | bs-bdash                                                            |                 3 |
|  156 | bs-busters-digital-magazine                                         |                 2 |
|  157 | bs-dan-dan-belt-conveyor-milk-no-maki                               |                 3 |
|  158 | bs-do-re-mi                                                         |                 5 |
|  159 | bs-dragon-quest                                                     |                10 |
|  160 | bs-nichibutsu-mahjong                                               |                 5 |
|  161 | bs-nintama-rantarou-2                                               |                 7 |
|  162 | bs-zelda                                                            |                 7 |
|  163 | bubsy-ii                                                            |                57 |
|  164 | bubsy-in-claws-encounters-of-the-furred-kind                        |                20 |
|  165 | bugs-bunny-in-rabbit-rampage                                        |                16 |
|  166 | bugs-life-a                                                         |                 5 |
|  167 | bulls-vs-blazers-and-the-nba-playoffs                               |                 4 |
|  168 | burai-hachigyoku-no-yuushi-densetsu                                 |                 7 |
|  169 | bushi-seiryuuden-futari-no-yuusha                                   |                89 |
|  170 | bust-a-move                                                         |                 5 |
|  171 | cacoma-knight-in-bizyland                                           |                 8 |
|  172 | cal-ripken-jr-baseball                                              |                 6 |
|  173 | cannon-fodder                                                       |                 6 |
|  174 | cannondale-cup                                                      |                11 |
|  175 | capcoms-mvp-football                                                |                 1 |
|  176 | capcoms-soccer-shootout                                             |                26 |
|  177 | captain-america-and-the-avengers                                    |                11 |
|  178 | captain-commando                                                    |                20 |
|  179 | captain-novolin                                                     |                10 |
|  180 | captain-tsubasa-iii-koutei-no-chousen                               |                28 |
|  181 | captain-tsubasa-iv-pro-no-rival-tachi                               |                 5 |
|  182 | captain-tsubasa-j-the-way-to-world-youth                            |                 7 |
